date wind precip sunshine clouds pressure temperature
2024-02-17 5.1 0 1.5 7.1 1015.4 8.5
2024-02-18 3.7 5.9 2 7.3 1015.9 6.7
2024-02-19 6.3 5.9 0 7.6 1006.7 7.5
2024-02-20 5.5 2.4 0.3 7.9 1010.5 7.5
2024-02-21 5.1 0.1 1 7.6 1003.3 8.1
2024-02-22 5.1 6.3 0.4 7.8 982.5 9.5
2024-02-23 5.8 0 2.9 7.5 983.6 7.4
2024-02-24 4.5 0 5.7 4.3 991.1 5.3
2024-02-25 4.5 0 6 3 994.2 5.6
2024-02-26 3.9 0 5.9 7.7 995.1 6.2
2024-02-27 3.3 0 0 7.9 1003.9 4.1
2024-02-28 3.1 0 3.4 7.5 1009.4 2.7
2024-02-29 3.8 0 9.3 4.6 1004.2 4.1
2024-03-01 2.9 0.7 1.2 7.3 995.6 7.2
2024-03-02 3 0 2.3 7.8 995.1 8.6
2024-03-03 4.2 0 4.3 5.1 993.6 9.3
2024-03-04 3.5 0 6.7 3.4 997.9 8.8
2024-03-05 3.9 0 6 4.1 1004.6 5.1
2024-03-06 3.1 0 6.4 4 1012.2 4
2024-03-07 4.1 0 10.1 2.1 1014.1 4.8
2024-03-08 4.5 0 10.7 0 1008 3.2
2024-03-09 4.8 0 5 3.3 997.7 4.5
2024-03-10 5.9 0 5.5 6.3 991.5 7.6
2024-03-11 3.9 0 0.7 7.8 992.8 10.2
2024-03-12 3.1 0 5.2 7.9 1001.6 9.5
2024-03-13 3.5 0.5 8.7 5 1004.5 9.4
2024-03-14 3.7 0 1 7.8 1002.5 11
2024-03-15 4.5 0 5.4 7.9 997.8 12.2
2024-03-16 5.7 1.8 2.2 4.8 1002.6 8.6
2024-03-17 4.2 0 7.9 3.8 1011.5 4.3
2024-03-18 4 0 11.3 6.4 1009.3 2.3
2024-03-19 3.5 0 10 4.6 1010.4 4.1
2024-03-20 3.3 0.5 7.1 7.8 1008.4 10.7
2024-03-21 4.1 9.3 1.5 7.6 1007.8 10.2
2024-03-22 4.3 8 0.1 8 1003.1 9.2
2024-03-23 4 5.8 2.9 6.2 994.2 5.4
2024-03-24 5.4 5.1 3.3 7.1 988.9 4.7
2024-03-25 4.8 0 1.6 7 992.2 6.1
2024-03-26 4.7 0 8.1 8 987.6 6.9
2024-03-27 4.6 0 7.9 6.9 977 11.6
2024-03-28 6.2 0.4 3.3 7.3 977.5 9.8
2024-03-29 5.1 0.6 1.1 6.9 988.4 10.2
2024-03-30 3.6 0 4.9 6.3 988.1 15
2024-03-31 2.7 0 5.8 NA 986.7 13.9
2024-04-01 5.5 2.1 2.1 7.3 983.7 12.4
2024-04-02 7.7 2.2 5 5.9 991.7 10.9
2024-04-03 4.1 2.5 0.3 7.8 995.2 10.3
2024-04-04 5.4 3 4.2 7 996 11.3
2024-04-05 5.6 0.4 4.2 7.8 1000 14.1
2024-04-06 4.2 0 8.4 7.6 1003 17.5
2024-04-07 4.5 0 5.8 7.5 1002.9 19.3
2024-04-08 3.6 0 5.7 7 998.6 20.1
2024-04-09 5.5 0.1 5.3 6.5 997.7 18
2024-04-10 4.9 0 2.3 6.3 1014.1 11.5
2024-04-11 4.6 0 5.8 5.6 1019.7 12.3
2024-04-12 4.1 0 2.8 8 1017.5 15.9
2024-04-13 5.5 0 10.2 7.6 1010.9 17.5
2024-04-14 6.2 0 6.3 7.5 1005.3 14.7
