"No_Exercise","Few_Fruit_Veg","Obesity","High_Blood_Pres","Smoker","Diabetes","Uninsured","Elderly_Medicare","Disabled_Medicare","Prim_Care_Phys_Rate","Dentist_Rate","Community_Health_Center_Ind","HPSA_Ind"
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1621,1528,423,8.9,17.8,2,2
33,84.8,23.1,-1111.1,26.9,3.5,4722,3811,665,32.8,16.4,2,1
28.5,78.5,18.7,23.9,35.7,4.7,3519,5525,1038,55,18.3,2,2
32.1,86.5,34,-1111.1,27.7,9.4,1858,3575,495,39.7,27.8,2,2
24.3,74.9,28.1,20.2,22.7,6.1,3733,4737,769,64.8,36,2,2
21.5,76.1,28.3,25.3,25,8.8,12976,15632,2999,110.9,46.4,1,2
25,82.3,19.9,23.7,16.8,6.2,2810,5215,603,90.6,41.6,2,2
26.2,77,25.2,27.7,23.2,5.5,24647,20152,3036,53.7,30.2,2,2
23.7,-1111.1,26.9,-1111.1,24.8,10,2376,3868,892,48.2,28.1,2,2
24.1,76.8,21.9,26.4,25.7,6.3,6749,8544,1824,86.1,45.8,2,2
35.5,82,37.1,-1111.1,24.6,12.1,1885,3213,450,28.6,34.4,2,1
28.5,86.1,26,-1111.1,25.4,9.5,1992,2516,418,17.3,13,2,1
35.9,89.1,23.7,-1111.1,31.1,9.2,2951,3066,430,58.1,29,2,2
31.5,-1111.1,25.5,27.8,22.5,8.1,3128,4957,732,32.9,38.9,1,2
27.1,80.4,33.2,34.5,27.8,8.7,9209,10854,2241,46.8,42.5,1,2
29.3,81.3,28.7,-1111.1,26.2,11.2,4160,4797,892,41.8,38.8,2,2
16.4,76.3,20,18.6,16.9,4.8,15981,14422,1688,128,41.1,1,2
24.3,82.7,20.7,18.8,20.5,6.5,4931,6555,959,57,31.7,2,2
28,82.8,28.9,18.6,26.7,7.7,3026,4205,954,51.6,29.9,2,2
22.1,74.1,23.4,26.1,23.8,5.2,8137,10794,1204,56.5,34.5,2,2
31,81.8,30.1,-1111.1,26.8,8.6,4534,7650,1302,55,31.8,2,2
23.6,79.1,25.8,28.6,24.3,9.2,10088,11755,2070,71.8,56.5,1,2
26.2,79.6,24,-1111.1,22.3,8.8,3193,5691,720,57.5,31.4,2,2
28.9,83,25.1,27.1,31.4,7.4,4493,5641,1114,61.6,30.8,1,2
26.4,-1111.1,27.9,20.5,26.5,9,3189,4038,616,53.3,22,2,2
35.7,78.8,27.3,-1111.1,25.2,12.7,2879,3356,540,41.7,32.4,1,2
23,80.5,26.9,-1111.1,35.7,5.7,3266,4079,993,80.2,49.3,2,2
35.4,88.1,23.8,-1111.1,28.9,10.3,3174,2891,975,35.2,17.6,2,1
25.4,81.6,22.5,23.7,27,6.3,11107,13676,1894,77.1,38.2,1,2
30.4,78.3,25.1,-1111.1,30,7.8,4521,5916,1189,70.4,31.3,2,2
24.4,73.3,24,28.7,27,8.2,9086,8981,1336,47.3,23.7,2,2
22.7,78.5,26.8,-1111.1,32.6,5.5,5849,3231,499,24.4,19,1,1
29.2,79,28.7,27.5,27.7,8.1,72085,61501,11339,72.2,43,1,2
28.3,79.8,25.6,30.5,26.6,8,12900,14211,2394,67.9,42.5,2,2
34,80.7,28.7,31.7,29.1,11.5,4693,6664,1263,58.2,36.6,2,2
28.3,77.8,27.1,30.1,29.4,8.4,14070,19419,3409,64.4,39.9,1,2
26.3,78.4,24.3,25.4,28,7.5,113729,93298,19598,132.8,64,1,2
27.7,70.3,26,20.4,26.8,5.7,4957,6003,731,59.6,32,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4,1024,1615,295,28.9,19.3,2,2
23.9,79,27.6,27.7,30.6,9,4173,4630,796,44.9,22.5,2,2
18.2,80.8,18.7,23.5,26.1,7.3,13081,11431,1893,80.7,48.6,2,2
29.3,76.4,23.3,22.9,32.5,7.8,3469,5265,747,57.5,41.8,2,2
27.1,78.7,26.5,26.3,28.6,6.5,6084,7325,1242,45.9,28.7,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.9,1394,1649,245,13.8,13.8,2,1
31.9,79.9,30,26.5,23.7,8.6,5728,4928,945,35.8,27.4,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,494,724,120,0,17,1,2
39.1,87.1,-1111.1,-1111.1,35.1,12.3,2182,2746,596,65.8,20.2,2,2
29.5,-1111.1,28.1,-1111.1,31.5,4.8,2780,2519,473,21.9,13.1,2,1
34.1,-1111.1,27,-1111.1,29,12.3,1950,2376,460,40.3,17.3,2,1
24.2,-1111.1,22.5,-1111.1,29.8,6.7,1479,2759,420,52.5,26.3,2,2
-1111.1,-1111.1,-1111.1,-1111.1,18.4,12.9,1215,1893,381,31.3,23.5,2,2
24.3,73.9,24,22.2,27.5,5.6,16270,15823,2564,58.3,43.7,1,2
26.5,78.3,20.6,19,22.5,10.9,1917,3163,503,22.3,29.8,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.4,1541,2053,347,43.5,29,2,2
27.9,74.9,21.5,-1111.1,31,3.4,3397,4304,663,43.3,24.4,2,2
32.5,78.9,31.9,-1111.1,22,11.4,3134,4324,624,30,22.5,2,2
26.7,74.8,20.3,-1111.1,26.7,10.2,2443,4009,676,65,39.7,2,2
-1111.1,-1111.1,29.3,-1111.1,18.3,4.3,1584,2545,362,50.5,16.8,2,2
26.2,75.5,22.8,26.7,25.3,8.1,33036,35682,4819,95.4,45.1,1,2
35.8,-1111.1,27.2,-1111.1,29.8,8.7,2747,2869,1001,46.2,25.2,2,2
30.5,78.4,31.1,-1111.1,26.7,6.5,3912,5032,810,45.7,27.4,2,2
24.4,85.1,24.9,-1111.1,26.7,5,2131,2708,433,29.2,19.5,2,2
30.1,81.7,26.9,-1111.1,33.2,11.3,2919,3031,852,39.2,8.7,1,2
21.2,83.4,25,13.8,26.1,5.9,3568,4432,649,50.3,29.6,2,2
24,79,22.5,-1111.1,35,4.9,2501,2955,667,23,32.2,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.2,1267,1039,265,10.3,10.3,2,2
21.1,77.9,20.7,19.6,24,5,17421,13605,2086,71.5,35.7,1,2
24.2,-1111.1,-1111.1,-1111.1,15.7,8.4,1407,2213,277,54.9,30.5,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,659,960,175,69.4,13.9,2,2
24,80.8,27.3,27.5,28.6,9,16380,25305,4933,114.9,56.6,1,2
30.9,-1111.1,28.1,-1111.1,26.8,4.5,1735,2429,428,24.2,18.1,2,2
27.5,84.6,25.3,36.5,28.5,10.8,12609,14024,2919,113.1,54.6,2,2
24.9,-1111.1,22.5,27.3,29.7,6.9,3179,5458,876,47.3,35.5,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.7,780,893,121,11.4,11.4,2,1
24.8,74.4,27.1,30.6,18.1,7,4204,5846,981,138.4,30.2,2,2
26.5,88.9,23.9,-1111.1,35.6,7.1,2751,3078,858,43,17.9,2,2
29.3,79.1,26.6,25.9,27.5,9,8521,11097,2152,70.8,52,2,2
24.5,78.6,20.8,-1111.1,21.4,7.4,2222,3510,419,85.5,28.5,1,2
26.7,-1111.1,25.7,-1111.1,27.5,7.5,3170,4308,576,49.1,28.6,2,2
28.3,80,28,-1111.1,25,8.5,2167,4344,486,37.1,30.9,2,2
25,81.6,28,25.9,22.9,6.1,709,1468,94,25.4,25.4,2,2
-1111.1,-1111.1,-1111.1,23.9,-1111.1,12.7,502,868,104,70.4,46.9,2,2
23.1,78.1,16.7,18.7,27.4,2.9,1735,2601,218,54.4,34,2,2
37.3,83.2,25.3,29.7,24.7,8,1642,2635,450,51.2,22,1,2
-1111.1,-1111.1,19.3,-1111.1,17.1,5.7,717,1439,108,31,31,2,2
29.7,81.5,25.7,28.2,25.5,5.4,1397,3608,418,14.8,22.2,2,1
22.9,78.7,23.5,24.7,19.3,6.6,10134,17122,3017,89,48.5,1,2
26,80.3,23.2,24.8,25.8,6.2,1556,3922,471,41.4,30.1,2,2
19,74.9,20.2,22,19.2,3.6,1226,3914,325,54.9,46.5,2,2
32.1,81.5,29.7,24.1,22.3,4.6,1987,3176,330,28.5,28.5,2,1
21.2,75,25.1,29.8,20.6,10.9,2281,3289,280,49.6,49.6,1,2
21.2,81.2,20.7,29.1,11.6,4.6,822,3072,252,19.9,13.3,2,1
22,81.7,21.2,31.7,19.5,4.3,934,2317,221,28.7,28.7,2,2
25.7,83.5,20.9,23.2,17.7,6.2,1272,3910,444,76.1,42.8,2,2
24.3,75.3,23.3,28,20.4,8.4,1369,3013,352,56.3,42.2,2,2
26.3,75.6,25.2,26.4,23.5,7.1,870,2693,221,21.9,38.3,2,2
21.5,82.2,24.4,23.5,21.1,6.1,3447,8015,1189,129.9,60.5,2,2
24.3,79.5,21.3,27.2,13.8,5.7,1061,2549,276,40.9,49,2,2
29.6,85.9,26.9,22.8,23.2,6.1,782,2307,241,39.8,39.8,2,2
28.3,85.8,24.8,30.9,24.8,9.5,1061,1396,161,43.7,21.8,2,2
18.4,83.8,23.4,28.2,19.2,5.3,1097,2970,323,59.2,53.3,2,2
23,76.9,26,25.6,18.4,5.4,1799,3391,357,38.2,38.2,2,2
21.9,79.8,26.6,31.8,25.6,10.4,4426,7851,1215,48.3,56.3,2,2
29.1,-1111.1,28.7,29.5,21.3,5.6,2313,2779,368,41.4,23.7,2,2
23.4,76.6,18.8,22.5,15.6,6,3594,4599,663,21.3,19.3,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.9,1355,1376,156,11.5,34.6,2,1
34.9,-1111.1,27.7,28,23.2,7.8,1156,1526,203,23.2,34.9,1,2
23,80.2,22.7,29.3,19.9,5.8,1475,2582,251,27.7,33.3,2,1
28.3,78,24.8,28.5,18.3,7,3844,6729,996,56.4,46.6,1,2
19.7,74.2,25,24.3,19.9,6.4,907,3481,306,47.9,47.9,2,2
19.4,79.5,25.1,24.4,16.3,6.1,5367,13378,1736,88.4,53.5,2,2
20.9,-1111.1,31,-1111.1,21.4,12.5,1207,2045,211,66.5,38,2,2
33,85.5,22.8,23,26.6,6.3,2158,3878,430,14.1,32.9,2,1
29.4,72.4,31.6,27.3,21.1,7.9,1391,3072,507,30.4,54.7,2,2
25.5,80.8,20.7,20.4,16.5,6,1041,1876,170,18.6,55.9,2,2
32.4,85.2,32.5,33.7,24,6.3,734,1442,192,38.7,12.9,2,2
31.9,87.7,-1111.1,-1111.1,-1111.1,8.1,990,2085,226,40.1,30.1,2,2
-1111.1,82.4,22.3,22.9,15,7.8,711,2193,146,24.3,24.3,2,2
21.4,89.1,25.5,22.5,14,2.8,860,2289,231,34.6,26,2,2
31.8,80.3,26.7,27.5,23.4,11,1251,2856,271,55.5,49.4,2,2
22.3,81.7,21.9,26.1,22.1,9.1,943,2069,177,42.4,33.9,2,2
26.4,81.4,27.5,27.7,22.8,8.4,1655,3889,338,44.4,38.9,2,2
33.4,79.8,30.8,31.2,28.3,8.8,1259,2641,333,25.2,37.8,2,2
27.6,76.8,31,25,18.4,8.4,1591,2946,396,44.5,59.3,2,2
-1111.1,84,18.1,-1111.1,11.6,5.1,843,1821,145,51.5,51.5,2,2
-1111.1,-1111.1,21.5,-1111.1,13.7,6.8,739,1993,195,30.1,40.1,2,2
-1111.1,-1111.1,-1111.1,19.4,22.2,2,690,1548,112,13.6,27.1,2,2
31.9,76.6,28.7,25.1,21.3,8.2,685,2623,225,37.4,24.9,2,2
24.4,81.2,23.4,24.2,18,8.8,1961,3455,383,39.3,39.3,2,2
25.4,85,28.7,24.8,21.9,8.1,2134,5608,686,31.9,37.2,2,2
21.1,-1111.1,-1111.1,-1111.1,-1111.1,6.5,1800,2053,302,43.8,50.1,2,2
13.2,77.4,16.1,15.9,17.5,3.9,9483,8428,1518,307.5,158,1,2
20.6,-1111.1,19.2,22,21.1,5.2,1494,3119,303,14.6,39,2,2
25.5,84.3,-1111.1,-1111.1,16.5,11.8,1125,2325,241,0,26.9,2,1
27.8,75.2,22.5,23.1,18.9,4.3,1410,3311,280,31,55.8,2,2
27.8,85.3,23.2,22.1,30.2,8.8,3731,5828,900,68.1,40.9,1,2
19.9,81.9,21.5,23.5,20.7,6.2,12750,24428,3262,76.4,53.3,2,2
28.6,84,-1111.1,-1111.1,23.9,6.9,1430,1674,211,8.4,16.9,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.7,882,1775,216,20.7,31,1,2
21.7,79.8,17.6,25.1,18.5,4.8,887,2053,142,17,25.5,2,2
28.1,79.4,26.1,20.1,20.3,3.8,1001,1964,243,6.6,19.8,2,2
30.5,88.5,20.5,24.5,22.3,5.1,1663,3424,434,62.6,22.4,2,2
25.4,81.4,22.7,28,25.8,7.2,1678,4870,726,54.6,42.4,2,2
28.7,81.5,27.9,25.4,25.9,6.9,4532,6258,858,55.8,48.2,1,2
22.5,75.6,22.6,26.2,29.5,6,931,1831,573,45.8,26.2,2,2
22.3,-1111.1,20.6,28.5,19.3,4.6,937,2343,182,18.3,36.6,2,1
-1111.1,85.3,-1111.1,-1111.1,23.2,10,1019,2101,210,52.5,52.5,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.1,714,1411,194,12.8,25.5,1,2
30.8,83.5,29.1,33.3,26,13.2,1126,2196,313,53,44.2,2,2
26.7,82.9,25.6,23.2,22.8,5.7,4804,5515,904,42.1,39.8,2,2
24.1,82.8,25.7,25.8,23.3,3.7,946,3138,327,48.6,34.7,2,2
-1111.1,88.9,-1111.1,-1111.1,-1111.1,13.3,653,1280,98,29.9,14.9,2,2
27.8,79.8,24.5,30.5,28.3,5.1,1388,3193,433,67.7,61.5,2,2
-1111.1,87.3,-1111.1,-1111.1,21.4,8.7,921,2109,214,30.9,20.6,2,2
21.6,85.4,20.3,21.1,21.2,7.5,1605,3813,385,48.1,40.1,2,2
-1111.1,-1111.1,-1111.1,-1111.1,20.3,1.7,691,1906,159,25.2,50.4,2,1
21.3,82.8,22.8,21.8,24,6.5,34335,41609,6931,74.3,53.1,1,2
26.3,82.5,26.8,28,28,8.3,8821,12089,2177,51.3,34.5,1,2
23.5,79.4,26,33.8,23,7.3,1311,3266,328,79.3,42.3,2,2
-1111.1,-1111.1,-1111.1,-1111.1,11.4,8.1,679,1102,109,19,19,1,2
28,81.2,23.8,26.1,22,4.9,1138,2461,193,37.7,37.7,2,1
20.1,81.3,20.5,23.7,23.7,6.9,15478,18923,3146,72.1,55.9,1,2
22.9,78.7,26,29,15.4,2.7,987,2475,247,39.6,31.7,2,2
21.5,83.5,17.6,16.5,15.8,4.3,2348,4706,370,49.6,34.1,2,2
14.8,79.9,17.2,15.5,16.2,4.5,5642,8169,851,75,37.5,2,2
22.8,80.1,25.6,23.9,23.3,5.2,1837,3263,276,27.9,33.5,2,1
29,85.8,27.3,26.2,26.2,10.6,955,1453,142,0,30.2,2,1
23.8,78.2,28,28.1,24.9,7.9,1099,2314,334,41.8,41.8,2,2
-1111.1,-1111.1,-1111.1,13.3,-1111.1,10.6,859,1599,203,12.8,12.8,2,2
27.6,79.8,24.8,27.2,23.9,6.2,3982,6084,1212,89,44.5,1,2
21.1,81.7,26,26.8,20.4,6.1,2789,4561,619,16.3,25.6,2,2
22.4,82.7,25.3,23.4,21.8,4.2,2006,3710,376,46.6,37.3,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,12,842,1519,164,30.3,15.1,1,2
28.2,83,26,31.5,24.4,9.8,3832,6612,1080,48.7,59,1,2
18.2,76.4,25.6,23.8,15.7,7.7,905,2270,197,35.2,61.7,2,2
29.3,78.3,19.5,19.2,13.4,4.6,1287,3182,278,75.4,47.1,2,2
26.1,82.9,23,23.9,28.6,4.6,13112,13387,2292,67.2,43.9,1,2
25.1,-1111.1,23.7,22.9,17.7,8.1,556,1346,126,38.6,25.7,2,2
29,81.2,19.3,25.2,25.7,6.4,1314,2876,274,36.6,51.3,2,2
33.1,-1111.1,27.8,-1111.1,26.6,8.2,1792,2405,369,14.5,43.5,2,2
35.3,-1111.1,25.5,-1111.1,21.4,10.7,1171,1624,161,36.7,12.2,2,2
28.8,81.6,25.4,-1111.1,21.6,9.3,1698,2579,359,47.6,41.7,2,2
-1111.1,-1111.1,14.6,-1111.1,18,3.4,690,1097,139,20.2,40.3,2,2
26.5,80.8,27,31.4,22.9,8.2,3707,4788,526,64,42.7,1,2
31.9,-1111.1,21.2,24.8,24.2,7.6,2042,2592,431,66.7,33.3,2,2
31.9,82.1,24.9,-1111.1,26.7,9.4,1416,1928,262,97.7,29.3,2,2
22.8,81.3,25.7,21.1,21.7,6.7,5781,7153,949,51.3,22.5,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.1,382,492,54,0,0,1,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,14.9,626,847,148,24.3,0,2,1
31.5,86.3,25.9,-1111.1,23.7,7.6,3103,3179,671,13.9,23.2,1,2
-1111.1,-1111.1,-1111.1,-1111.1,12.9,10.4,576,749,51,33.9,67.9,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,7.9,306,501,37,131.4,43.8,2,2
29.9,-1111.1,29,-1111.1,19.1,6.7,950,1705,168,92.7,11.6,2,2
25.3,83.7,20.7,-1111.1,19.6,9.5,1088,2189,247,41,20.5,2,2
16.2,82.9,23.8,-1111.1,17,6.7,958,1366,157,34.6,23,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,249,449,43,0,0,2,2
32.8,82.6,29.2,30.4,23.4,8.4,4344,5431,882,59.5,48.2,2,2
23.8,81.2,23.6,24.1,24.8,7,5017,5478,1013,60.2,49.7,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4.5,553,846,58,94,31.3,2,2
29.2,78.4,27,28.9,23.8,5.8,1913,3525,382,46.9,41.6,2,2
31.9,-1111.1,29.6,-1111.1,21.7,9.1,842,1241,134,25.6,0,1,1
19.3,79.6,17,14.9,19.2,3.6,11344,8170,1397,74.8,42.8,2,2
-1111.1,-1111.1,-1111.1,-1111.1,13.1,8.9,537,682,50,30.4,30.4,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.8,625,690,91,0,0,2,1
21.3,81.2,17.2,15.4,20.1,5,2618,3720,486,48.6,59.8,2,2
22.5,-1111.1,21.7,-1111.1,12.2,4.9,632,1141,100,31.5,31.5,2,2
36.3,84,23.1,25.1,20.8,5.5,7819,3105,502,41,25.6,1,2
27.9,83,24.9,23,18.2,5.9,5719,3189,410,74.1,32.6,1,2
28.4,82.1,27.2,35,23.5,5.5,2798,3448,617,30.5,15.2,2,2
17.6,80.8,16.7,20.7,24.8,6.5,4807,2528,420,52.9,89.5,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1,464,710,43,181,0,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.4,384,642,68,73.5,36.8,2,2
-1111.1,-1111.1,27.3,-1111.1,26.9,8.2,1368,765,83,39.8,39.8,1,2
24.5,-1111.1,-1111.1,-1111.1,18.6,4.5,899,769,67,34.1,0,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,242,257,26,74.1,0,2,2
36.2,82.4,30.8,-1111.1,20.1,11.9,1085,1673,252,27.3,27.3,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,485,457,32,0,76.8,2,1
-1111.1,-1111.1,24.9,-1111.1,21.7,11.1,731,1352,113,49.3,49.3,2,2
25,82.4,24.7,27.2,12.8,7.9,3453,5569,601,103.4,35.5,2,2
-1111.1,-1111.1,-1111.1,-1111.1,15.7,5.6,786,440,39,47.3,0,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,271,358,26,47.4,0,2,1
31,82.3,26.9,-1111.1,26.4,8.9,1373,1799,256,51.7,22.2,2,1
26.3,83.5,25.1,21.9,22.6,6.1,1599,2485,364,31.4,20.9,2,1
-1111.1,-1111.1,-1111.1,-1111.1,12.6,9.5,567,851,84,29.8,0,2,1
16.7,79.4,17.4,18.9,16.6,4.8,34718,46513,4779,128.5,63.8,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9,810,456,56,44.3,22.1,2,2
26.9,86.8,30.9,-1111.1,18.6,9.3,937,1540,139,0,49,2,1
-1111.1,-1111.1,-1111.1,-1111.1,10.4,4.3,412,678,77,0,33.5,2,1
34.2,88.9,27.9,32.4,25.5,6.9,2903,3567,767,72.2,27.1,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,14.5,285,439,33,52.8,0,2,2
21.5,78.8,20.8,24.2,21.6,5.8,6040,6272,1063,42.4,52,2,2
-1111.1,-1111.1,13.8,-1111.1,-1111.1,3.1,396,714,63,29.3,29.3,2,1
29.5,82.6,25.4,-1111.1,27.3,6.5,1192,1684,259,20.2,10.1,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,360,630,50,0,71.6,2,2
27.2,79.4,24.4,18.5,19.6,7,5155,3985,661,59,36.5,1,2
24.6,77.8,23.4,30.2,13.5,6.1,1828,4983,402,67.7,44,2,2
25.7,75.6,20.8,-1111.1,18.2,3.5,1478,2600,236,30.9,38.6,2,2
32.3,74.5,28.8,-1111.1,17,5.8,1152,2252,212,38.4,38.4,2,2
-1111.1,-1111.1,-1111.1,-1111.1,14.5,9.6,703,812,53,43.2,21.6,2,1
25.2,76.1,27.3,21.5,21.6,6.9,2325,3057,537,49.2,23,2,2
25.5,82.4,16.7,-1111.1,18.5,3.6,661,1420,112,77.9,15.6,2,2
30.5,80.8,28,29.3,27.1,9.1,4615,6378,1093,52.1,43.4,2,2
28.8,-1111.1,20,-1111.1,17.9,9.2,736,1165,113,49.6,33.1,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2.2,551,496,46,62.6,62.6,2,2
31.4,79,21.9,-1111.1,11.4,3.9,986,2048,164,38.3,47.9,2,2
32.7,81.9,24.7,28.9,19.2,9.4,2013,2884,441,54.4,42.3,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.3,426,844,48,33.2,0,2,2
-1111.1,90.3,15.3,-1111.1,-1111.1,7.5,665,1100,115,70.6,53,2,2
29.9,81.2,30.6,-1111.1,26.4,8,1672,2605,350,23.3,23.3,1,1
-1111.1,-1111.1,17.6,-1111.1,19.2,11,506,1055,77,0,49.4,2,1
40,-1111.1,24.6,-1111.1,14.5,4.4,617,997,91,81.7,32.7,2,2
29.7,-1111.1,26.8,-1111.1,18.2,12.4,781,1189,136,59.4,14.8,1,1
24.4,-1111.1,-1111.1,-1111.1,19.4,7.8,728,1230,133,90.8,36.3,2,1
22.9,73.2,19.5,19.3,19.3,5,1887,2313,273,62.7,36.6,2,2
26,83.2,22.5,-1111.1,23.1,11.1,1140,1668,170,73.7,52.7,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,333,692,54,112.3,0,2,2
25,79.6,25.2,24.1,22.7,6.4,7423,10225,1355,81.8,48.8,2,2
25.7,-1111.1,14.6,-1111.1,12.9,8.3,701,1365,101,77.5,38.7,2,1
27.3,89.7,24.2,-1111.1,16.5,5.2,1361,1927,212,28.7,47.8,2,2
14.3,77.9,14.7,15.7,16.1,3.3,7472,4720,613,71.6,47.8,1,2
27.4,-1111.1,17.4,-1111.1,22.8,9,662,1167,105,37.4,37.4,2,1
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,12.8,371,858,92,58.7,29.4,2,2
33.4,81.2,22.4,-1111.1,21.3,7.9,801,1714,170,43.8,43.8,2,2
23,75.8,21.7,21.5,23.9,4.9,6059,7490,1007,87.2,46.4,1,2
-1111.1,-1111.1,24.7,-1111.1,11.5,5.3,645,420,22,87,43.5,2,2
24.6,79.9,24.5,24,22.9,6.8,59433,50560,8481,98.5,41,1,2
30.7,83.3,21.2,23.2,20.2,7,4417,1779,289,51.6,30.1,1,2
25.5,80.9,26,24,19.6,6.7,18641,23128,4821,66.1,55.1,1,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,4.3,345,508,32,38.6,38.6,2,2
29.3,-1111.1,-1111.1,-1111.1,-1111.1,8.8,1162,1117,128,48.8,48.8,2,2
21.7,-1111.1,-1111.1,-1111.1,7.5,7.7,485,1127,82,48.5,48.5,2,2
22.9,-1111.1,17.3,-1111.1,16.2,10.3,737,936,85,22.3,44.6,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,451,344,27,44.5,0,2,2
25.5,-1111.1,11.2,-1111.1,19.1,7,925,729,66,18.5,37,2,1
26.4,78.1,29.7,27.3,19.5,8.6,2830,4201,526,28.2,32.3,2,2
27.7,93.7,15.2,-1111.1,18.6,3.8,857,1155,129,52.4,52.4,2,2
-1111.1,-1111.1,-1111.1,-1111.1,13,7.2,334,715,64,131.1,32.8,2,2
30.2,-1111.1,23.8,-1111.1,16.2,5.1,642,1041,125,28.9,0,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,285,327,18,0,0,2,1
27.9,-1111.1,22,-1111.1,16,6.1,733,1528,135,33.3,33.3,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,9.6,461,397,18,43.3,0,2,1
33.3,-1111.1,31.2,-1111.1,19.8,11,1447,1793,270,61,30.5,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8.8,520,842,116,28,28,2,2
37.3,83.1,27.4,26.5,28.2,7.7,28521,17320,4211,107.9,36,1,2
38.8,77.4,27.3,38.5,32,8.5,3576,2389,744,62.6,28.5,2,2
39,83.1,32,-1111.1,32.5,8.8,2240,2261,688,10.7,26.7,2,1
23.7,84.3,25.9,-1111.1,-1111.1,3.3,1842,2077,468,34.3,29.4,2,2
31.1,81.8,24,-1111.1,32.4,8.9,951,1574,357,24.2,12.1,2,1
34.3,78.5,25.5,29.8,30.1,7.5,5152,5283,1480,124.8,29.9,2,2
34.6,87.2,26.8,36.7,34.3,7,1866,1578,520,34.4,17.2,2,2
41.3,80.3,32.4,23.9,36.1,11.5,5813,3962,2279,94.4,43.8,2,2
21.9,81.3,25,25.1,21,5.2,8416,8114,1797,76.2,43.3,2,2
-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,8,2633,2538,555,65.5,30.3,2,2
37.6,79.9,27.2,35.9,29,9.6,6377,8124,2279,127,66.5,2,2
25.8,80.2,21.7,-1111.1,21,5.7,2874,3931,956,123.4,77.6,2,2
39.8,77.6,25.1,28.2,40.4,8.1,1013,1175,288,34.6,34.6,1,2
36.6,81.6,29.2,30.6,33.2,7.7,3232,1639,1195,75.2,18.8,1,2
36.9,77.9,21.9,27.2,37.9,7.4,2699,2657,653,31.1,15.5,2,2
30,77.9,25.6,-1111.1,30.5,9.9,5489,4396,1504,21.9,21.9,2,1
34.5,84.3,33.3,-1111.1,36.8,8.1,1861,1465,522,22.4,7.5,2,2
33.4,80.7,17.9,-1111.1,32.3,5.6,1639,2214,498,46.2,46.2,2,2
26.4,78.6,18.1,28.4,27.9,6.5,4042,4858,893,82.6,34.2,2,2
27.8,85.6,23.9,22,25.6,6.9,7283,10693,2034,80.2,35.5,1,2
-1111.1,84.8,-1111.1,-1111.1,-1111.1,10.2,788,928,220,18.8,18.8,2,1
-1111.1,89.2,-1111.1,-1111.1,-1111.1,5.2,1470,1294,361,38.3,28.7,2,1
37.7,87.4,31,30.9,35.5,9,4505,3547,1234,29.3,29.3,2,1
38.2,81.8,24.8,-1111.1,23.3,13.3,3117,1966,684,24.6,12.3,2,1
31.2,76,24.4,31.7,34.2,9.6,12960,6678,1677,55.6,34.2,2,2
