date wind precip sunshine clouds pressure temperature
2021-01-23 2.7 3.5 0 7.4 985 1.4
2021-01-24 2.4 0.9 0 7.9 984.46 0.5
2021-01-25 3.3 0 0.717 7.6 990.98 0.7
2021-01-26 4.3 0 3.933 5.6 999.33 0.2
2021-01-27 3.8 0.2 5.383 7 1000.32 1.1
2021-01-28 3.4 0 0 7.9 992.09 1.4
2021-01-29 3.3 6.8 0 7.8 986.54 -1.6
2021-01-30 2.4 0 0.85 7.4 990.05 -1.6
2021-01-31 2.8 0 8.117 2.9 993.31 -5.3
2021-02-01 4.8 0.1 2.5 7.9 987.17 -4.6
2021-02-02 3.3 1.8 0.017 7.9 989.7 0.7
2021-02-03 4.1 10.1 0.917 7.8 986.07 4.5
2021-02-04 3.4 0.9 0 7.9 999.38 0.6
2021-02-05 5.4 1.4 0 7.7 1005.86 -0.5
2021-02-06 7.1 0 0 8 1005.65 -2.1
2021-02-07 8.9 4.8 0 7.2 997.94 -6.3
2021-02-08 5.3 4.6 0 7.7 991.74 -9.4
2021-02-09 1.6 0.1 0 7.5 994 -9.4
2021-02-10 2.1 0.1 3.7 6.3 999.41 -8.8
2021-02-11 2.8 0 1.717 7.5 1013.84 -5.5
2021-02-12 2.4 0 8.4 3.4 1022.77 -5.7
2021-02-13 3.4 0 7.567 1 1027.91 -7.8
2021-02-14 2.9 0 7.45 4.5 1028.84 -5.9
2021-02-15 4.3 4.5 3.65 7.4 1019.03 -5.3
2021-02-16 3.4 2.3 0 8 1005.53 1.6
2021-02-17 5.3 0.2 0.067 8 1002.36 4.3
2021-02-18 3.7 3.6 5.217 7.9 1004.55 6.3
2021-02-19 5.1 0 7.867 6.6 1004.56 5.4
2021-02-20 4.3 0 7.817 7.8 1007.05 6.3
2021-02-21 4.6 0 9.583 3.2 1006.36 9.1
2021-02-22 3.7 0 9.8 0.3 1010.23 6.6
2021-02-23 4 0 5.817 6.3 1018.63 11.2
2021-02-24 4.5 0 7.567 4.4 1019 12.9
2021-02-25 4.3 1.2 8.4 0.9 1014.62 12.4
2021-02-26 4.2 0.6 1.067 5.9 1016.99 7.1
2021-02-27 4.3 0 0 6.8 1024.27 4.2
2021-02-28 3.6 0 0.933 5.8 1024.37 1.7
2021-03-01 2.4 0 4.433 4.4 1023.6 3.3
2021-03-02 1.3 0 5.5 3.8 1021.78 2.7
2021-03-03 3.7 0 8.183 2.9 1014.05 7
2021-03-04 3.9 0 0 7.3 1006.03 3.1
2021-03-05 3.1 0 9.8 3.1 1013.31 1.7
2021-03-06 4.5 0 2.883 4.9 1018.1 0.9
2021-03-07 5.8 0.7 0.05 7.9 1009.61 2.7
2021-03-08 2.5 0 10.883 5.1 1009.66 1.7
2021-03-09 3.3 0 7.45 7.6 1007.77 1.1
2021-03-10 4 1.3 9.35 5.8 1006.15 1.8
2021-03-11 6.6 5.8 2.25 7 988.32 6.2
2021-03-12 6.8 1.4 3.683 7.5 990.8 6.5
2021-03-13 6.4 7.1 1 6.1 984.62 5
2021-03-14 6.7 2.6 1.25 7.2 990.47 4.3
2021-03-15 4.9 9.5 0.85 6.8 994.68 4
2021-03-16 5.1 0 1.683 6.8 1003.96 4.1
2021-03-17 2.7 0.6 1.933 4.3 1009.71 1.7
2021-03-18 2.6 1.5 2.383 7.1 1008.82 1.7
2021-03-19 3.9 0.2 2.417 5.3 1010.34 0.5
2021-03-20 3.7 0 4.617 7.8 1013.49 0.7
2021-03-21 6.4 0.8 2.8 7.3 1001.93 5.1
2021-03-22 3.7 0.3 9.117 6.7 1007.37 4.5
2021-03-23 3.8 0 0 8 1011.28 5.5
2021-03-24 3.4 0 5.3 4.8 1010.36 8.4
2021-03-25 2.6 0.4 7.383 6.5 1007.57 9.5
2021-03-26 2.4 0 3.983 5.4 1006.39 10.9
2021-03-27 6.4 2.8 2.917 5.8 1005.3 6.3
2021-03-28 4.8 0 4.583 6.7 1014.58 7.2
2021-03-29 5.2 0 4.667 6 1015.01 13.5
2021-03-30 3.6 0 12.033 1.9 1017.4 15.3
2021-03-31 2.6 0 12.183 1.2 1010.76 16.6
2021-04-01 4.2 0.1 1.3 7.8 1005.46 11.5
2021-04-02 4.6 0 5.283 6.4 1007.71 5.8
2021-04-03 4.2 0 7.95 3.4 1009.47 5.3
2021-04-04 4.5 0 10.733 3.1 1007.35 5.1
2021-04-05 7 3.5 3 6.5 989.91 3.1
2021-04-06 6.1 0.2 6.55 5.7 992.9 1.4
2021-04-07 6.8 0.1 1.75 7.5 997.22 3.1
2021-04-08 6.5 0 1.383 7.5 1006.89 4
2021-04-09 5 1.2 8.6 7.5 1002.51 7.5
2021-04-10 2.5 5.2 0.033 7.9 1002.75 6.9
2021-04-11 5.2 6.3 5.717 7.1 998.6 10.7
2021-04-12 4.4 0 0.517 7.6 1010.55 4.4
2021-04-13 4.3 0 7.5 6.8 1015.68 4
2021-04-14 3.7 0 6.317 7 1015.25 4.2
2021-04-15 4 0 1.883 7.8 1015.14 3.7
2021-04-16 4.1 0 5.95 7.9 1012.17 7.1
2021-04-17 2.8 0.2 2.167 7.6 1009.25 8.7
2021-04-18 2.3 6.7 0.917 6.8 1008.4 7.1
2021-04-19 2.8 0.1 4.75 6.3 1007.56 8.1
2021-04-20 2.4 0 13.083 0.4 1003.57 11.1
2021-04-21 4.6 0 9.85 3.3 1002.13 10.5
2021-04-22 6.7 0.3 2.233 6.4 1007.15 7.1
2021-04-23 5.2 0 5.833 5.1 1012.27 8.1
