Date	APPLE	AMAZON	FORD	GOOGLE	MICROSOFT	VOLKSWAGEN
2007-12-13	5.839975	4.62	4.565747	17.286455	25.85582	NA
2007-12-14	5.796138	4.454	4.500429	17.184587	25.921892	NA
2007-12-17	5.61378	4.2545	4.441643	16.668274	25.246489	NA
2007-12-18	5.57055	4.3445	4.448174	16.770889	25.503437	NA
2007-12-19	5.574813	4.469	4.415514	16.871014	25.540144	NA
2007-12-20	5.699326	4.529	4.43511	17.177862	26.076052	NA
2007-12-21	5.903298	4.563	4.43511	17.352209	26.472479	NA
2007-12-24	6.052167	4.5505	4.408982	17.452831	26.854229	NA
2007-12-26	6.056735	4.6425	4.500429	17.704639	26.876253	NA
2007-12-27	6.045166	4.7125	4.46777	17.453081	26.406408	NA
2007-12-28	6.083524	4.7225	4.376325	17.497663	26.516523	NA
2007-12-31	6.030248	4.632	4.39592	17.222446	26.134773	NA
2008-01-02	5.931611	4.8125	4.311005	17.065783	25.85582	NA
2008-01-03	5.93435	4.7605	4.213027	17.069269	25.965927	NA
2008-01-04	5.481351	4.4395	4.00401	16.363665	25.239157	NA
2008-01-07	5.407982	4.441	4.023606	16.170637	25.407993	NA
2008-01-08	5.213449	4.394	3.984414	15.733029	24.556417	NA
2008-01-09	5.461562	4.261	3.96482	16.26902	25.28319	NA
2008-01-10	5.419552	4.213	4.082391	16.107874	25.202454	NA
2008-01-11	5.257288	4.054	3.958286	15.896665	24.894112	NA
2008-01-14	5.442688	4.1435	4.036668	16.284462	25.246489	NA
2008-01-15	5.146168	4.012	3.899501	15.881721	24.960184	NA
2008-01-16	4.860001	4.0175	3.827651	15.341247	24.394909	NA
2008-01-17	4.898053	4.006	3.762333	14.963663	24.306816	NA
2008-01-18	4.912362	3.988	3.866841	14.950213	24.233397	NA
2008-01-22	4.738224	3.924	3.873373	14.554197	23.462582	NA
2008-01-23	4.233778	3.6985	4.11505	13.664283	23.440544	NA
2008-01-24	4.12814	3.8835	4.088924	14.308618	24.409594	NA
2008-01-25	3.957958	3.88	4.297941	14.107123	24.182013	NA
2008-01-28	3.957958	3.791	4.356727	13.847596	24.02051	NA
2008-01-29	4.004537	3.6975	4.369791	13.711606	23.932417	NA
2008-01-30	4.024023	3.7105	4.408982	13.655566	23.638765	NA
2008-01-31	4.120831	3.885	4.337133	14.054819	23.932417	NA
2008-02-01	4.071818	3.7315	4.474301	12.849338	22.354052	NA
